,feature,n,IQR_n_outliers,IQR_outlier_%,IQR_min,IQR_max,IQR_lower_bound,IQR_upper_bound,Z_n_outliers,Z_outlier_%,Z_min,Z_max,Z_lower_bound,Z_upper_bound
33,02300001,5831,334,5.728005487909449,64.313095,66.140665,65.12317525,65.69709724999998,89,1.526324815640542,64.313095,66.140665,-3,3
34,02310001,1242,71,5.71658615136876,141.763952,143.099077,141.47414675000002,142.61383275,22,1.7713365539452495,141.763952,143.099077,-3,3
206,04647011,12577,718,5.708833585115687,63.873,67.72879999999999,65.4879,67.84549999999999,299,2.3773554901804883,63.873,67.72879999999999,-3,3
290,13000003,3464,193,5.571593533487298,0.8605,1.5986,0.8827874999999991,1.2242875000000017,50,1.443418013856813,0.8605,1.5986,-3,3
246,06220001,5678,310,5.459668897499119,173.2423,174.39231,173.135091375,173.690562375,123,2.1662557238464246,173.2423,174.39231,-3,3
160,04010002,3570,192,5.378151260504202,153.5842,156.567,153.39412612500004,155.42752312499996,57,1.5966386554621848,153.5842,156.567,-3,3
126,03040016,5059,272,5.376556631745404,79.720699,81.502116,80.26900074999998,81.50779875,109,2.1545760031626804,79.720699,81.502116,-3,3
52,02370003,4937,262,5.306866518128419,130.3083,131.4779,130.6652,131.39079999999998,45,0.9114847073121329,130.3083,131.4779,-3,3
76,03020002,5430,288,5.303867403314917,247.128,249.220354,247.28343887499994,248.39235787500007,50,0.9208103130755065,247.128,249.220354,-3,3
130,03070001,8072,428,5.302279484638256,54.11790000000001,59.091,56.004749999999994,59.006750000000004,211,2.6139742319127848,54.11790000000001,59.091,-3,3
26,02190001,3402,179,5.261610817166373,112.3056,114.2899,112.04343750000001,113.3025375,76,2.2339800117577897,112.3056,114.2899,-3,3
58,02407004,6892,361,5.237957051654091,195.9281,199.45,196.73233549999995,198.15601950000004,120,1.7411491584445733,195.9281,199.45,-3,3
74,03010007,3954,204,5.159332321699544,23.4423,25.181568,23.09205387500001,24.96997687499999,18,0.4552352048558422,23.4423,25.181568,-3,3
173,04020005,2490,128,5.140562248995984,206.748,210.223,206.563625,208.440025,40,1.6064257028112447,206.748,210.223,-3,3
122,03040012,5576,282,5.05738880918221,80.8737,82.60929999999999,81.43865,82.49025,122,2.187948350071736,80.8737,82.60929999999999,-3,3
75,03020001,5873,291,4.95487825642772,261.4352,264.4033,261.6510415000001,263.43999749999995,54,0.9194619444917418,261.4352,264.4033,-3,3
281,09060003,974,47,4.825462012320329,144.6258,150.0651,144.1651875,146.60028750000004,25,2.5667351129363447,144.6258,150.0651,-3,3
243,06190002,5188,249,4.799537393986122,168.5055,169.866107,168.39939462499996,169.32119962500002,101,1.946800308404009,168.5055,169.866107,-3,3
216,05030001,2093,100,4.777830864787386,98.2994,99.8647,98.12074999999999,99.29155000000003,51,2.436693741041567,98.2994,99.8647,-3,3
274,09000008,4580,218,4.759825327510917,113.741,115.988,113.92299849999999,115.5230025,47,1.0262008733624455,113.741,115.988,-3,3
32,02270001,5838,276,4.72764645426516,294.0209,295.316819,294.4150077500001,295.28472375,77,1.3189448441247003,294.0209,295.316819,-3,3
150,03090021,9058,428,4.725104879664385,44.5884,47.115,45.52735562499997,47.084546625000044,186,2.0534334290130274,44.5884,47.115,-3,3
249,06290002,5483,259,4.7236914098121465,116.6482,121.763612,119.03526250000002,121.64496249999999,155,2.8269195695786977,116.6482,121.763612,-3,3
197,04300013,4265,196,4.5955451348182885,119.7556,121.6678,119.769,120.8818,84,1.969519343493552,119.7556,121.6678,-3,3
104,03030013,5101,234,4.587335816506568,38.5589,39.7404,38.9068,39.7596,84,1.6467359341305627,38.5589,39.7404,-3,3
85,03020011,2520,112,4.444444444444445,257.0388,258.2638,257.3087000000001,258.2732999999999,21,0.8333333333333334,257.0388,258.2638,-3,3
118,03040008,3106,137,4.410817772054089,46.838,48.584,47.33237499999999,48.92537500000001,31,0.9980682549903412,46.838,48.584,-3,3
10,02000003,5582,245,4.389107846649947,4.8127,8.363723,5.782491124999999,8.454388125000001,96,1.7198136868505913,4.8127,8.363723,-3,3
79,03020005,2561,112,4.373291682936353,402.6287,404.5315,402.975,405.04139999999995,15,0.5857087075361187,402.6287,404.5315,-3,3
198,04300014,4286,184,4.2930471301913204,21.2709,23.795798,21.026125,23.067124999999997,61,1.4232384507699487,21.2709,23.795798,-3,3
237,06100001,6365,270,4.241948153967007,844.613841,848.0352079999999,844.7254164999999,847.3730445000001,26,0.40848389630793397,844.613841,848.0352079999999,-3,3
294,13000007,2550,108,4.235294117647059,6.256799999999998,14.656,5.334300000000001,12.980300000000002,32,1.2549019607843137,6.256799999999998,14.656,-3,3
24,02167001,10248,434,4.2349726775956285,7.334,12.35666,7.936477874999998,11.444536875,6,0.0585480093676815,7.334,12.35666,-3,3
73,03010006,3922,166,4.232534421213666,381.1171,385.0898,383.143175,385.33677500000005,40,1.0198878123406425,381.1171,385.0898,-3,3
101,03030010,5633,237,4.207349547310492,210.5609,212.3601,211.26670000000001,212.50350000000003,78,1.38469731936801,210.5609,212.3601,-3,3
229,05220002,5283,221,4.183229225818664,194.673855,207.5695,195.92807750000006,209.93758149999994,0,0.0,194.673855,207.5695,-3,3
194,04300010,6136,256,4.172099087353325,320.435593,322.8681,320.457075,322.612675,0,0.0,320.435593,322.8681,-3,3
98,03030006,5423,226,4.167434999078001,8.160001,10.399799,8.61372775,10.115321749999998,33,0.6085192697768762,8.160001,10.399799,-3,3
42,02340003,5837,243,4.163097481583005,449.774027,451.753777,450.33181499999995,451.6847910000001,73,1.250642453315059,449.774027,451.753777,-3,3
